dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,cumulative_cases,cumulative_deaths
2020-03-03,3,3,2020,1,0,Morocco,ma,MAR,36471766,Africa,NA,1,0
2020-03-03,3,3,2020,1,0,Senegal,sn,SEN,16296362,Africa,NA,1,0
2020-03-03,3,3,2020,1,0,Tunisia,tn,TUN,11694721,Africa,NA,1,0
2020-03-04,4,3,2020,2,0,Algeria,dz,DZA,43053054,Africa,0.01161358,5,0
2020-03-04,4,3,2020,34,1,France,fr,FRA,67012883,Europe,0.29845008,212,4
2020-03-05,5,3,2020,7,0,Algeria,dz,DZA,43053054,Africa,0.02787259,12,0
2020-03-05,5,3,2020,73,0,France,fr,FRA,67012883,Europe,0.40738435,285,4
2020-03-05,5,3,2020,2,0,Senegal,sn,SEN,16296362,Africa,NA,3,0
2020-03-06,6,3,2020,5,0,Algeria,dz,DZA,43053054,Africa,0.03948617,17,0
2020-03-06,6,3,2020,1,0,Egypt,eg,EGY,100388076,Africa,0.00199227,3,0
2020-03-06,6,3,2020,138,3,France,fr,FRA,67012883,Europe,0.61331491,423,7
2020-03-06,6,3,2020,1,0,Morocco,ma,MAR,36471766,Africa,NA,2,0
2020-03-06,6,3,2020,1,0,Senegal,sn,SEN,16296362,Africa,NA,4,0
2020-03-06,6,3,2020,1,0,South_Africa,za,ZAF,58558267,Africa,NA,1,0
2020-03-07,7,3,2020,1,0,Cameroon,cm,CMR,25876387,Africa,NA,1,0
2020-03-07,7,3,2020,12,0,Egypt,eg,EGY,100388076,Africa,0.01394588,15,0
2020-03-07,7,3,2020,190,2,France,fr,FRA,67012883,Europe,0.89684248,613,9
2020-03-07,7,3,2020,1,0,Togo,tg,TGO,8082359,Africa,NA,1,0
2020-03-08,8,3,2020,103,1,France,fr,FRA,67012883,Europe,1.05054427,716,10
2020-03-08,8,3,2020,1,0,South_Africa,za,ZAF,58558267,Africa,NA,2,0
2020-03-09,9,3,2020,3,0,Algeria,dz,DZA,43053054,Africa,0.04645431,20,0
2020-03-09,9,3,2020,1,0,Cameroon,cm,CMR,25876387,Africa,NA,2,0
2020-03-09,9,3,2020,34,1,Egypt,eg,EGY,100388076,Africa,0.04781444,49,1
2020-03-09,9,3,2020,410,9,France,fr,FRA,67012883,Europe,1.66236692,1126,19
2020-03-09,9,3,2020,1,0,South_Africa,za,ZAF,58558267,Africa,NA,3,0
2020-03-10,10,3,2020,6,0,Egypt,eg,EGY,100388076,Africa,0.05379125,55,1
2020-03-10,10,3,2020,286,11,France,fr,FRA,67012883,Europe,2.08915053,1412,30
2020-03-10,10,3,2020,1,0,Nigeria,ng,NGA,200963603,Africa,9.9521e-4,2,0
2020-03-10,10,3,2020,4,0,South_Africa,za,ZAF,58558267,Africa,NA,7,0
2020-03-10,10,3,2020,1,0,Tunisia,tn,TUN,11694721,Africa,NA,2,0
2020-03-11,11,3,2020,2,0,Burkina_Faso,bf,BFA,20321383,Africa,NA,2,0
2020-03-11,11,3,2020,1,0,Democratic_Republic_of_the_Congo,cd,COD,86790568,Africa,NA,1,0
2020-03-11,11,3,2020,4,0,Egypt,eg,EGY,100388076,Africa,0.05777579,59,1
2020-03-11,11,3,2020,372,3,France,fr,FRA,67012883,Europe,2.64128317,1784,33
2020-03-11,11,3,2020,3,0,Tunisia,tn,TUN,11694721,Africa,NA,5,0
2020-03-12,12,3,2020,0,0,Algeria,dz,DZA,43053054,Africa,0.04645431,20,0
2020-03-12,12,3,2020,0,0,Burkina_Faso,bf,BFA,20321383,Africa,NA,2,0
2020-03-12,12,3,2020,1,0,Cote_dIvoire,ci,CIV,25716554,Africa,NA,1,0
2020-03-12,12,3,2020,1,0,Egypt,eg,EGY,100388076,Africa,0.05877192,60,1
2020-03-12,12,3,2020,497,15,France,fr,FRA,67012883,Europe,3.37845486,2281,48
2020-03-12,12,3,2020,3,1,Morocco,ma,MAR,36471766,Africa,NA,5,1
2020-03-12,12,3,2020,6,0,South_Africa,za,ZAF,58558267,Africa,NA,13,0
2020-03-12,12,3,2020,2,0,Tunisia,tn,TUN,11694721,Africa,NA,7,0
2020-03-13,13,3,2020,5,1,Algeria,dz,DZA,43053054,Africa,0.05806789,25,1
